assignee,ticket_count,profile_confidence,top_products,top_components,top_priorities,top_keywords,representative_ticket_ids,inferred_responsibility
dev_0003,20,high,core (20),audio/video: playback (19); audio/video (1),p1 (15); p2 (3); p5 (2),wmfme; playback; video playback; core audio; video; audio video; audio; media,bmo_1873424; bmo_1882342; bmo_1878510; bmo_1881617; bmo_1882205,"Inferred from 20 historical tickets: likely focuses on audio/video: playback, audio/video in core. Common work themes: wmfme, playback, video playback, core audio, video."
dev_0012,20,high,firefox (19); core (1),address bar (17); dom: copy & paste and drag & drop (1); sync (1); bookmarks & history (1),p1 (10); -- (8); p3 (1); p2 (1),yelp; yelp suggestions; address bar; firefox address; bar; address; suggestion; suggestions,bmo_1880664; bmo_1880480; bmo_1874203; bmo_1874990; bmo_1882174,"Inferred from 20 historical tickets: likely focuses on address bar, dom: copy & paste and drag & drop, sync in firefox, core. Common work themes: yelp, yelp suggestions, address bar, firefox address, bar."
dev_0032,20,high,firefox (20),search (17); address bar (3),p2 (13); p1 (3); p3 (2); p5 (2),search; firefox search; categorization; search-telemetry-v2; search-telemetry-v2 schema; schema; submit; telemetry,bmo_1879714; bmo_1879222; bmo_1875287; bmo_1875945; bmo_1879737,"Inferred from 20 historical tickets: likely focuses on search, address bar in firefox. Common work themes: search, firefox search, categorization, search-telemetry-v2, search-telemetry-v2 schema."
dev_0024,19,medium,core (19),javascript: gc (12); javascript engine (6); javascript engine: jit (1),-- (6); p2 (5); p3 (4); p5 (3); p1 (1),marking; parallel; core javascript; javascript; marking core; parallel marking; assertion failure; failure,bmo_1880213; bmo_1880444; bmo_1881417; bmo_1875304; bmo_1879566,"Inferred from 19 historical tickets: likely focuses on javascript: gc, javascript engine, javascript engine: jit in core. Common work themes: marking, parallel, core javascript, javascript, marking core."
dev_0025,19,medium,core (19),javascript engine (10); javascript engine: jit (6); javascript: webassembly (1); privacy: anti-tracking (1); javascript: gc (1),p2 (7); -- (6); p3 (4); p1 (2),javascript engine; engine; engine jit; core javascript; javascript; jit; inlining; disnative,bmo_1879553; bmo_1882664; bmo_1873027; bmo_1876358; bmo_1881019,"Inferred from 19 historical tickets: likely focuses on javascript engine, javascript engine: jit, javascript: webassembly in core. Common work themes: javascript engine, engine, engine jit, core javascript, javascript."
dev_0034,19,medium,core (19),networking: http (13); networking (5); networking: websockets (1),p2 (16); p1 (3),networking http; http; core networking; networking; neqo; linkedin; linkedin fcp; nullhttptransaction,bmo_1875559; bmo_1877744; bmo_1875701; bmo_1874581; bmo_1881393,"Inferred from 19 historical tickets: likely focuses on networking: http, networking, networking: websockets in core. Common work themes: networking http, http, core networking, networking, neqo."
dev_0021,18,medium,core (18),networking (8); mathml (4); layout (3); layout: floats (1); css parsing and computation (1); networking: http (1),p2 (7); -- (7); p3 (4),mathml; fetchpriority; core mathml; content-visibility; core networking; networking; aframe; wpt core,bmo_1875273; bmo_1878188; bmo_1872657; bmo_1874826; bmo_1876684,"Inferred from 18 historical tickets: likely focuses on networking, mathml, layout in core. Common work themes: mathml, fetchpriority, core mathml, content-visibility, core networking."
dev_0010,17,medium,core (17),audio/video: web codecs (9); audio/video: playback (5); audio/video (3),p1 (7); -- (4); p5 (3); p2 (2); p3 (1),video web; web codecs; codecs; core audio; audio video; audio; video; web,bmo_1878476; bmo_1876314; bmo_1872871; bmo_1873100; bmo_1880814,"Inferred from 17 historical tickets: likely focuses on audio/video: web codecs, audio/video: playback, audio/video in core. Common work themes: video web, web codecs, codecs, core audio, audio video."
dev_0018,17,medium,core (17),graphics: webgpu (16); css parsing and computation (1),p1 (11); p2 (4); -- (2),webgpu; graphics webgpu; trunk; wgpu; core graphics; graphics; cts; cts core,bmo_1882800; bmo_1874167; bmo_1881065; bmo_1879988; bmo_1873696,"Inferred from 17 historical tickets: likely focuses on graphics: webgpu, css parsing and computation in core. Common work themes: webgpu, graphics webgpu, trunk, wgpu, core graphics."
dev_0041,17,medium,firefox (17),new tab page (5); messaging system (4); tabbed browser (2); general (2); shell integration (2); migration (1); translations (1),-- (7); p1 (6); p2 (3); p5 (1),new tab; firefox new; asrouter; tab page; tab; components asrouter; under browser; new,bmo_1876104; bmo_1878731; bmo_1876604; bmo_1877545; bmo_1882874,"Inferred from 17 historical tickets: likely focuses on new tab page, messaging system, tabbed browser in firefox. Common work themes: new tab, firefox new, asrouter, tab page, tab."
dev_0058,17,medium,core (17),privacy: anti-tracking (7); dom: security (5); dom: core & html (2); graphics: canvas2d (1); dom: navigation (1); javascript engine (1),-- (13); p2 (2); p3 (2),collect; dom security; src file; anti-tracking; core privacy; privacy anti-tracking; privacy; security,bmo_1873452; bmo_1881392; bmo_1876276; bmo_1873405; bmo_1879166,"Inferred from 17 historical tickets: likely focuses on privacy: anti-tracking, dom: security, dom: core & html in core. Common work themes: collect, dom security, src file, anti-tracking, core privacy."
dev_0002,16,medium,core (16),layout (6); layout: scrolling and overflow (4); layout: tables (2); layout: block and inline (1); layout: flexbox (1); layout: grid (1); layout: form controls (1),-- (16),layout; core layout; perf_reftest; layout scrolling; scrolling overflow; scrolling; layout tables; tables,bmo_1879770; bmo_1881157; bmo_1877850; bmo_1874897; bmo_1878371,"Inferred from 16 historical tickets: likely focuses on layout, layout: scrolling and overflow, layout: tables in core. Common work themes: layout, core layout, perf_reftest, layout scrolling, scrolling overflow."
dev_0027,16,medium,core (16),graphics: canvaswebgl (6); graphics (3); graphics: webgpu (1); mfbt (1); ipc (1); storage: quota manager (1); xpcom (1); mozglue (1),p1 (11); -- (5),canvaswebgl; graphics canvaswebgl; scoped.h; deprecated mfbt; mfbt scoped.h; remove scoped.h; remove use; scoped.h use,bmo_1873866; bmo_1873503; bmo_1873812; bmo_1873507; bmo_1874223,"Inferred from 16 historical tickets: likely focuses on graphics: canvaswebgl, graphics, graphics: webgpu in core. Common work themes: canvaswebgl, graphics canvaswebgl, scoped.h, deprecated mfbt, mfbt scoped.h."
dev_0036,16,medium,core (16),privacy: anti-tracking (16),-- (16),default tcp; tcp; tcp core; 3pc default; blocking 3pc; 3pc; blocking; default,bmo_1873982; bmo_1873984; bmo_1873994; bmo_1874008; bmo_1874005,"Inferred from 16 historical tickets: likely focuses on privacy: anti-tracking in core. Common work themes: default tcp, tcp, tcp core, 3pc default, blocking 3pc."
dev_0056,16,medium,core (16),web painting (5); graphics: imagelib (4); panning and zooming (3); graphics: webrender (2); performance: general (1); dom: performance apis (1),-- (11); p3 (4); p5 (1),painting; imagelib; layout reftests; reftests bugs; web painting; graphics imagelib; bugs; core panning,bmo_1879967; bmo_1875680; bmo_1873414; bmo_1882544; bmo_1875426,"Inferred from 16 historical tickets: likely focuses on web painting, graphics: imagelib, panning and zooming in core. Common work themes: painting, imagelib, layout reftests, reftests bugs, web painting."
dev_0044,15,medium,firefox (15),messaging system (15),p1 (14); p2 (1),survey; firefox messaging; messaging; messaging system; system; experiment; welcome; configure,bmo_1877267; bmo_1875898; bmo_1879872; bmo_1879090; bmo_1875162,"Inferred from 15 historical tickets: likely focuses on messaging system in firefox. Common work themes: survey, firefox messaging, messaging, messaging system, system."
dev_0059,15,medium,core (15),networking: dns (6); networking (6); networking: jar (1); javascript engine (1); css parsing and computation (1),p2 (12); p3 (1); p5 (1); -- (1),dns; networking dns; core networking; native; networking; jar; native https; netwerk dns,bmo_1878765; bmo_1881258; bmo_1875000; bmo_1883032; bmo_1877606,"Inferred from 15 historical tickets: likely focuses on networking: dns, networking, networking: jar in core. Common work themes: dns, networking dns, core networking, native, networking."
dev_0009,14,medium,core (14),widget: cocoa (4); graphics (3); disability access apis (2); graphics: webgpu (2); graphics: webrender (2); audio/video: playback (1),-- (6); p2 (4); p3 (3); p5 (1),fullscreen; cocoa; widget cocoa; moxunignoredparent; drop drop; webrender; drop; macos,bmo_1877749; bmo_1882358; bmo_1879668; bmo_1876392; bmo_1872892,"Inferred from 14 historical tickets: likely focuses on widget: cocoa, graphics, disability access apis in core. Common work themes: fullscreen, cocoa, widget cocoa, moxunignoredparent, drop drop."
dev_0016,14,medium,core (14),css parsing and computation (10); layout: tables (3); layout: positioned (1),-- (11); p3 (2); p2 (1),table; layout tables; tables; css; parsing; selectors core; css parsing; parsing computation,bmo_1875348; bmo_1879731; bmo_1878994; bmo_1882581; bmo_1880405,"Inferred from 14 historical tickets: likely focuses on css parsing and computation, layout: tables, layout: positioned in core. Common work themes: table, layout tables, tables, css, parsing."
dev_0023,14,medium,firefox (12); core (2),data loss prevention (12); security: process sandboxing (1); dom: copy & paste and drag & drop (1),-- (13); p1 (1),data loss; firefox data; loss prevention; prevention; loss; dlp; data; dlp feedback,bmo_1882603; bmo_1872995; bmo_1879401; bmo_1880314; bmo_1879182,"Inferred from 14 historical tickets: likely focuses on data loss prevention, security: process sandboxing, dom: copy & paste and drag & drop in firefox, core. Common work themes: data loss, firefox data, loss prevention, prevention, loss."
dev_0014,12,medium,core (11); firefox (1),security: psm (10); dom: web authentication (1); security (1),p1 (7); -- (4); p2 (1),psm; security psm; core security; security; certificates; certificate; mutable; errors,bmo_1874627; bmo_1881335; bmo_1878404; bmo_1876435; bmo_1876840,"Inferred from 12 historical tickets: likely focuses on security: psm, dom: web authentication, security in core, firefox. Common work themes: psm, security psm, core security, security, certificates."
dev_0047,12,medium,firefox (12),firefox view (10); sidebar (2),p5 (4); p2 (3); p1 (2); -- (2); p3 (1),firefox view; view; firefox firefox; firefoxview; components firefoxview; firefoxview tests; tests browser; browser,bmo_1878746; bmo_1880540; bmo_1882114; bmo_1879926; bmo_1876862,"Inferred from 12 historical tickets: likely focuses on firefox view, sidebar in firefox. Common work themes: firefox view, view, firefox firefox, firefoxview, components firefoxview."
dev_0050,12,medium,core (12),dom: core & html (5); dom: performance apis (2); dom: forms (1); networking: cookies (1); dom: ui events & focus handling (1); javascript engine (1); web painting (1),-- (9); p2 (2); p3 (1),works; ensure; shadow; across shadow; boundary; boundary core; selection across; shadow boundary,bmo_1878805; bmo_1881095; bmo_1878773; bmo_1877787; bmo_1878753,"Inferred from 12 historical tickets: likely focuses on dom: core & html, dom: performance apis, dom: forms in core. Common work themes: works, ensure, shadow, across shadow, boundary."
dev_0051,12,medium,firefox (12),messaging system (11); nimbus desktop client (1),p1 (9); p3 (2); -- (1),firefox messaging; messaging; messaging system; system; checker; review checker; review; experiment,bmo_1877995; bmo_1877631; bmo_1878036; bmo_1879655; bmo_1872688,"Inferred from 12 historical tickets: likely focuses on messaging system, nimbus desktop client in firefox. Common work themes: firefox messaging, messaging, messaging system, system, checker."
dev_0052,12,medium,core (12),graphics (7); graphics: webgpu (4); graphics: canvas2d (1),-- (11); p1 (1),webgpu; memory increase; graphics webgpu; core graphics; graphics; increase; nvidia; memory,bmo_1880005; bmo_1873456; bmo_1880625; bmo_1879928; bmo_1882688,"Inferred from 12 historical tickets: likely focuses on graphics, graphics: webgpu, graphics: canvas2d in core. Common work themes: webgpu, memory increase, graphics webgpu, core graphics, graphics."
dev_0017,11,medium,core (11),dom: events (3); dom: copy & paste and drag & drop (2); dom: editor (1); dom: ui events & focus handling (1); dom: core & html (1); ipc (1); dom: forms (1); dom: window and location (1),-- (7); p2 (3); p3 (1),drag drop; drag; drop; dom events; events; copy paste; dom copy; paste drag,bmo_1881257; bmo_1875416; bmo_1873035; bmo_1883035; bmo_1880372,"Inferred from 11 historical tickets: likely focuses on dom: events, dom: copy & paste and drag & drop, dom: editor in core. Common work themes: drag drop, drag, drop, dom events, events."
dev_0020,11,medium,core (10); firefox (1),privacy: anti-tracking (10); security (1),p1 (4); p2 (4); p3 (3),bouncetrackingprotection; anti-tracking; core privacy; privacy anti-tracking; privacy; bounce; clearing; tracking,bmo_1881481; bmo_1873960; bmo_1879348; bmo_1881514; bmo_1876736,"Inferred from 11 historical tickets: likely focuses on privacy: anti-tracking, security in core, firefox. Common work themes: bouncetrackingprotection, anti-tracking, core privacy, privacy anti-tracking, privacy."
dev_0030,11,medium,core (11),dom: workers (6); networking: cache (3); xpcom (1); dom: device interfaces (1),p2 (5); -- (5); p5 (1),dom workers; add names; derived; derived runnables; networking cache; runnables core; runnables; names,bmo_1879751; bmo_1875859; bmo_1880231; bmo_1875621; bmo_1872913,"Inferred from 11 historical tickets: likely focuses on dom: workers, networking: cache, xpcom in core. Common work themes: dom workers, add names, derived, derived runnables, networking cache."
dev_0037,11,medium,core (11),svg (7); graphics (1); graphics: webrender (1); dom: html parser (1); dom: animation (1),-- (11),svg; core svg; matching; parser; element; animations masks; applied inline; apply gradients,bmo_1875707; bmo_1873338; bmo_1880046; bmo_1882773; bmo_1874372,"Inferred from 11 historical tickets: likely focuses on svg, graphics, graphics: webrender in core. Common work themes: svg, core svg, matching, parser, element."
dev_0039,11,medium,firefox (11),address bar (8); tabbed browser (1); bookmarks & history (1); toolbars and customization (1),p3 (5); -- (3); p2 (3),address bar; bar; address; firefox address; schemeless; tabs; bookmarks; container tabs,bmo_1880078; bmo_1876957; bmo_1874693; bmo_1882028; bmo_1874546,"Inferred from 11 historical tickets: likely focuses on address bar, tabbed browser, bookmarks & history in firefox. Common work themes: address bar, bar, address, firefox address, schemeless."
dev_0046,11,medium,core (11),ipc (5); dom: navigation (3); dom: content processes (1); xpcom (1); mfbt (1),-- (9); p2 (2),core ipc; ipc; port; dom navigation; navigation; actor; destruction; destruction core,bmo_1875248; bmo_1874793; bmo_1879375; bmo_1881863; bmo_1881970,"Inferred from 11 historical tickets: likely focuses on ipc, dom: navigation, dom: content processes in core. Common work themes: core ipc, ipc, port, dom navigation, navigation."
dev_0008,10,medium,core (10),privacy: anti-tracking (10),-- (8); p1 (1); p2 (1),partitioned; anti-tracking; core privacy; privacy anti-tracking; privacy; attribute; cookies; isuriinlist,bmo_1873921; bmo_1872896; bmo_1876574; bmo_1876504; bmo_1876575,"Inferred from 10 historical tickets: likely focuses on privacy: anti-tracking in core. Common work themes: partitioned, anti-tracking, core privacy, privacy anti-tracking, privacy."
dev_0015,10,medium,firefox (9); core (1),tabbed browser (8); privacy: anti-tracking (1); private browsing (1),-- (5); p1 (3); p2 (2),firefox tabbed; tabbed; tabbed browser; preview; tab preview; tab; tab hover; hover,bmo_1876558; bmo_1883140; bmo_1877227; bmo_1877837; bmo_1879345,"Inferred from 10 historical tickets: likely focuses on tabbed browser, privacy: anti-tracking, private browsing in firefox, core. Common work themes: firefox tabbed, tabbed, tabbed browser, preview, tab preview."
dev_0028,10,medium,core (10),ipc (8); security: process sandboxing (2),-- (4); p1 (4); p2 (1); p3 (1),core ipc; ipc; libc.so.6; fork server; fork; server; data race; race,bmo_1882017; bmo_1875412; bmo_1878213; bmo_1874317; bmo_1881386,"Inferred from 10 historical tickets: likely focuses on ipc, security: process sandboxing in core. Common work themes: core ipc, ipc, libc.so.6, fork server, fork."
dev_0031,10,medium,core (9); firefox (1),disability access apis (9); disability access (1),-- (9); p1 (1),disability; disability access; access apis; core disability; access; apis; uia; generic,bmo_1883132; bmo_1880199; bmo_1881195; bmo_1879255; bmo_1881191,"Inferred from 10 historical tickets: likely focuses on disability access apis, disability access in core, firefox. Common work themes: disability, disability access, access apis, core disability, access."
dev_0033,10,medium,firefox (10),firefox view (8); session restore (1); sidebar (1),p2 (4); -- (2); p1 (2); p5 (2),firefox view; view; firefox firefox; coverage; browser browser_opentabs_tab_indicators.js; browser_opentabs_tab_indicators.js; browser; firefox,bmo_1877538; bmo_1874742; bmo_1880542; bmo_1872560; bmo_1873683,"Inferred from 10 historical tickets: likely focuses on firefox view, session restore, sidebar in firefox. Common work themes: firefox view, view, firefox firefox, coverage, browser browser_opentabs_tab_indicators.js."
dev_0042,10,medium,core (10),javascript engine (6); javascript engine: jit (4),p2 (4); p3 (3); p1 (3),jit; fuse; javascript engine; engine; engine jit; cacheir.cpp; cacheir.cpp core; emulatesundefined,bmo_1881969; bmo_1875650; bmo_1877684; bmo_1877312; bmo_1875549,"Inferred from 10 historical tickets: likely focuses on javascript engine, javascript engine: jit in core. Common work themes: jit, fuse, javascript engine, engine, engine jit."
dev_0049,10,medium,core (10),javascript: webassembly (10),p1 (5); p3 (3); p2 (2),javascript webassembly; webassembly; js-string; wasm; core javascript; javascript; exceptions; implementation,bmo_1882545; bmo_1876164; bmo_1876154; bmo_1877358; bmo_1876155,"Inferred from 10 historical tickets: likely focuses on javascript: webassembly in core. Common work themes: javascript webassembly, webassembly, js-string, wasm, core javascript."
dev_0053,10,medium,core (10),javascript engine (7); javascript: gc (3),p3 (4); p2 (3); -- (2); p1 (1),activitylog; customserializableobject; customserializableobject activitylog; hazards; core javascript; javascript; javascript engine; engine,bmo_1875797; bmo_1876152; bmo_1873328; bmo_1874785; bmo_1878384,"Inferred from 10 historical tickets: likely focuses on javascript engine, javascript: gc in core. Common work themes: activitylog, customserializableobject, customserializableobject activitylog, hazards, core javascript."
dev_0057,10,medium,core (10),privacy: anti-tracking (8); preferences: backend (1); graphics: text (1),-- (8); p3 (1); p2 (1),anti-tracking; core privacy; privacy anti-tracking; privacy; hardware; telemetry; report; collect,bmo_1879156; bmo_1873526; bmo_1880561; bmo_1879624; bmo_1879154,"Inferred from 10 historical tickets: likely focuses on privacy: anti-tracking, preferences: backend, graphics: text in core. Common work themes: anti-tracking, core privacy, privacy anti-tracking, privacy, hardware."
