id,true_priority,predicted_priority,error_direction,severity,product,component,summary,description_snippet,stack_exception_signal,high_impact_signal,low_impact_signal,related_pull_to_high,related_pull_to_low,related_top1_priority,related_top3_avg_priority,related_top3_high_priority_rate,related_top3_low_priority_rate,creator,creation_time,status
7273,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,ui,need to remove ctrl+alt accelerators due to nl collision,"ctrl+ alt= altgr on several platforms notably german and slavic platforms such as polish. note that everything collides with the russian keyboard so any use of ctrl-alt should be removed here is a list of other collisions q- croatian, polish, german w- croatian, polish e - german z - czech, slovak s - polish d - polish f - croatian, polish g - croatian, polish k - croatian l - croatian y - czech, slovak v - croatian, polish b - croatian, polish n - croatian, polish m - croatian, polish, germa...",False,False,False,True,False,3.0,2.0,0.6666666666666666,0.0,tod_creasey@ca.ibm.com,2002-01-04 16:46:55+00:00,closed
7507,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,debug,debugger keyboard shortcuts do not work in 20020109,"i have a problem using keyboard shortcuts in the debugger (f6 etc.) in version 20020109. most of the time the shortcuts do not work, but the menuitems (step over etc.) do. sometimes the shortcuts start working after using the according menuitem ???? when relaunching the process, the shortcuts work",False,False,False,True,True,4.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,other,2002-01-11 21:37:59+00:00,verified
7674,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,major,platform,ui,cannot define submenus in xml,"the eclipse xml parser ignores the plugin xml definitions to add submenus to new menus in the menu bar. although it is possible to add submenus to the predefined menus in the menu bar (e.g. the window/readme file editor example), it is not possible to add submenus to user-defined menus in the menu bar. initial response from oti (kh): “yes we have a bug that prevents you from contributing submenus to an action set. we have investigated a fix and it is a non-trivial change. is there a way that ...",False,False,True,False,False,3.0,2.3333333333333335,0.3333333333333333,0.0,duongn@ca.ibm.com,2002-01-16 14:16:35+00:00,resolved
7709,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,major,platform,swt,swt text widget bug: converts unicode latin-1 double-arrow to math double-arrow,"apparently, org.eclipse.swt.widgets.text modifies the string upon settext(). if i call settext(string), then immediately call gettext(), i get back a string with different bytes than i set. this problem doesn't occur using english. the swt text widget seems to have the following bug: if the text contains the unicode characters 00ab or 00bb. these are the double-arrows used by stereotypes in rose. the text widget incorrectly converts the characters to the equivalent unicode mathematical double...",False,False,False,False,True,4.0,4.666666666666667,0.0,1.0,duongn@ca.ibm.com,2002-01-16 15:11:03+00:00,resolved
7841,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,core,overriden methods inserted past the end of source,"win32 0109 if you override a method via the pop-up in the outline view, the methods are added past the last }.",False,False,False,True,False,1.0,2.0,0.6666666666666666,0.0,fraenkel@us.ibm.com,2002-01-17 15:47:50+00:00,resolved
8078,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,core,missing resource in copy cu dialog,test pass for build i20020122. copy a file from package a to b and watch the dialog: there is a missing resource message which quickly appears and then goes away.,False,False,False,True,True,2.0,3.6666666666666665,0.3333333333333333,0.6666666666666666,daniel_megert@ch.ibm.com,2002-01-23 11:15:31+00:00,resolved
8359,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,core,index out of date when replacing a jar,"build 20020122 when upgrading my self-hosted workspace from 0115 to 0122, i ended up replacing jdt.jar (using plugin import tool), and once finished - without restarting, indexes still have references of javauiaction which no longer exists. testcase: open typde dialog still presents it. we might have optimized too much unnecessary consistency checks...",False,False,False,True,False,2.0,2.0,0.6666666666666666,0.0,philippe_mulet@fr.ibm.com,2002-01-24 12:46:37+00:00,resolved
8697,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,core,2 compiler bugs: the operator unkown operator is undefined and defined in an inherited type and an enclosing scope,am trying to recompile the jdk1.4 classes so that i can really de bug through them and i can't comple the the error is: the field thumbwidth (and height) is defined in an inherited type and an enclosing scope. and this method gives me an compilere error: public frame cancel() { frame sharedownerframe = null; if (sharedownerframe == null) { sharedownerframe = new frame() { public synchronized void dispose() { } }; } return sharedownerframe; } the error: the operator unkown operator is undefine...,False,False,False,False,False,3.0,3.0,0.0,0.0,jcompagner@j-com.nl,2002-01-29 19:38:57+00:00,resolved
8864,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,ui,goto resource dialog redraws too much,on every keystroke the goto resource dialog redraws. this needs to be fixed. take a look at the equivalent dialog in the packages view. it does not flicker as much,False,False,False,False,False,3.0,3.3333333333333335,0.0,0.3333333333333333,kevin_haaland@ca.ibm.com,2002-01-31 19:25:52+00:00,resolved
8919,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,enhancement,jdt,ui,wsad request to open java editor framework,i work on the ejb tooling team for wsad. we have a need to add behavior to the java editor in the form of set of menu actions for a selected method. we also want to provide additional image overlays for a method and we need to be able to determine when the overlay and which one should be added to each method. the last request that we have is a means to force the outline to refresh on our terms. this is needed because our new overlays our determined using our own java mof model within wsad and...,False,False,True,True,False,2.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,other,2002-02-01 14:55:12+00:00,resolved
9057,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,debug,api - change event should be better specified,"the change event is currently a catch all. it could be better specified, and perhaps have detail codes to make it more usable. for example, if an element fires a change event to update a label, there should be a way to specify that only the label has changed, and not all of its children or the rest of the target's state.",False,False,True,True,False,3.0,2.0,0.6666666666666666,0.0,darin.eclipse@gmail.com,2002-02-04 19:07:19+00:00,verified
9131,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,major,platform,update  (deprecated - use eclipse>equinox>p2),verify we removed code comments,remove fixme framgments and vk comments,False,False,False,False,True,5.0,4.333333333333333,0.0,0.6666666666666666,celek@ca.ibm.com,2002-02-05 19:30:32+00:00,resolved
9261,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,major,pde,ui,decorators cause eager plugin activation,"build 20020205 if you open a brand new workspace in this build, the debug.core and debug.ui plugins get activated eagerly. this is because they register a label decorator that is turned on by default. maybe this is fine, but i thought i should point it out. one possible solution is to always have decorators turned off by default, and it would be up to the user to decide if they want them turned on (or they could be turned on implicitly by the first launch/debug attempt). this would be more in...",False,False,True,False,True,5.0,3.6666666666666665,0.0,0.3333333333333333,john.arthorne@gmail.com,2002-02-07 17:34:38+00:00,resolved
9359,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,ui,label decorators not lazily loaded,"label decorator manager is too agressive in creating decorator instances from extensions without checking whether a decorator was enabled from the window menu. it should be more lazy i.e. create decorators on demand. if that is too late, at least do not create decorators before checking if the decorator master switch is on.",False,False,True,True,False,3.0,1.6666666666666667,0.6666666666666666,0.0,dejan@ca.ibm.com,2002-02-09 23:49:34+00:00,closed
9819,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,imagedescriptorregistry must empty hash map in dispose,current code is: public void dispose() { for (iterator iter= fregistry.values().iterator(); iter.hasnext(); ) { image image= (image)iter.next(); image.dispose(); } } statement fregistry.clear() missing after dispose current implementation doesn't cause harm since calling dispose on a dispose image is ignored. must be fixed after m3,False,False,False,False,True,4.0,4.0,0.0,0.6666666666666666,dirk_baeumer@ch.ibm.com,2002-02-14 15:18:48+00:00,resolved
10237,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,support decorators in the outline,see the packages view for details. marked as p1 since the lack of this support blocks some of our users.,False,True,False,True,False,2.0,1.6666666666666667,1.0,0.0,erich_gamma@ch.ibm.com,2002-02-26 09:02:32+00:00,resolved
10839,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,debug,java launch config: main type checks are too constraining,there is a test that the main type has to be inside the workbench. this is overly constraining. consider having a main in a jar that you add to the runtime class path. we should just remove the test.,False,False,False,True,False,2.0,1.3333333333333333,1.0,0.0,erich_gamma@ch.ibm.com,2002-03-06 12:06:23+00:00,verified
10885,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,major,jdt,ui,"inserting javadoc ""{@link ..."" causes outofmemoryerror","using the java code shown below, when i insert the text ""refer to {@link "" into the javadoc comments on line 39, position 67 (in front of the word ""according""), the ui hangs for about 30 seconds. a dialog then appears appears indicating the following error: org.eclipse.swt.swtexception: failed to execute runnable (java.lang.outofmemoryerror) at org.eclipse.swt.swt.error(swt.java:1887) at (synchronizer.java:96) at (display.java:1390) at (display.java:1208) at (workbench.java:788) at org.eclips...",True,False,False,True,False,1.0,2.0,0.6666666666666666,0.0,other,2002-03-06 17:35:16+00:00,resolved
11718,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,ui,simple project missing from new wizard,"0319 build the ""new"" wizard doesn't have project under simple, just folder and file. it also doesn't have ""configurable project"" whatever that is, which i notice in the ""new"" pulldown.",False,False,False,False,False,3.0,3.3333333333333335,0.0,0.3333333333333333,kevin_mcguire@ca.ibm.com,2002-03-19 21:20:05+00:00,resolved
11795,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,java browsing: members type shows imports strangely,give this code: package p; import java.util.list; public class a { class d{ } } i see the import container as a child of both a and d strange,False,False,False,False,False,3.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,akiezun@gmail.com,2002-03-20 10:35:33+00:00,resolved
11821,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,preferences - typo in jdk compliance setting messages,build 20020319 some of the error message issued in the jdk compliance preference page have mispelled occurrences of 'compatibility'.,False,False,True,False,False,3.0,3.3333333333333335,0.0,0.3333333333333333,philippe_mulet@fr.ibm.com,2002-03-20 12:05:28+00:00,resolved
11903,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,'add javadoc comment' adds non-java doc comments,1. (default code-generation preference settings) 2. select the method and 'add javadoc comment' package p; class a{ public string tostring() { return super.tostring(); } } it adds /* * @see object#tostring() */ which is not a javadoc comment,False,False,False,False,True,4.0,3.3333333333333335,0.3333333333333333,0.6666666666666666,akiezun@gmail.com,2002-03-20 16:11:04+00:00,resolved
12157,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,debug,debug event sets,"we need support for debug event sets to report events that occurr at the same locattion. this should replace the current event reporting, but we may want to leave the old mechanism around since there are many listeners curretly. java debug model has to be updated to fire event sets.",False,False,False,True,False,1.0,1.6666666666666667,1.0,0.0,darin.eclipse@gmail.com,2002-03-22 20:11:24+00:00,verified
12222,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,debug,npe attempting to create remote java application configuration,opened the launch configuration dialog a java application configuration is selected. go to the common tab selected the remote java application type hit new,True,False,False,True,False,1.0,1.3333333333333333,1.0,0.0,darin_swanson@us.ibm.com,2002-03-25 16:16:03+00:00,verified
12398,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,blocker,platform,swt,accessibility problems,"20020326, win2k when i launch the help view, the tab key does not actually do anything. i need to first click on one of the ""live"" areas before it starts working (eg. the banner with the tool buttons, the nav frame or the content frame. we should be starting the help view in a way that can be immediately navigated via the keyboard.",False,False,False,True,False,2.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,klicnik@ca.ibm.com,2002-03-27 22:13:54+00:00,resolved
12548,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,debug,debug event filters should use event sets,"event filters should work with event sets, not individual events.",False,False,False,True,False,1.0,1.3333333333333333,1.0,0.0,darin.eclipse@gmail.com,2002-04-01 16:43:27+00:00,verified
12896,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,debug,remove shared launch config support,we will remove shared launch config support: * remove api to set a container on launch config creation * remove local/shared api * remove ui for setting location in common tab,False,False,False,True,False,1.0,1.3333333333333333,1.0,0.0,darin.eclipse@gmail.com,2002-04-05 20:20:33+00:00,closed
13128,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,migrate to new framelist,the frame list classes are now api,False,False,False,True,False,2.0,1.6666666666666667,1.0,0.0,erich_gamma@ch.ibm.com,2002-04-09 22:55:41+00:00,resolved
13283,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,find/replace: close button too small,"20020409 - open find/replace dialog - compared to the other buttons in the dialog, 'close' is too small",False,False,False,True,False,2.0,1.3333333333333333,1.0,0.0,martinae@microsoft.com,2002-04-10 13:58:56+00:00,resolved
13313,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,templates: missing resource string,20020409 if you have an error on template importing you see a dialog with the following title !templatepreferencepage.error.read.title!,False,False,False,True,False,2.0,1.6666666666666667,1.0,0.0,akiezun@gmail.com,2002-04-10 14:39:21+00:00,resolved
13534,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,no completion in javadoc @see tags,"build 20020409 inside the toolfactory class, i cannot get any @see completion to work. e.g. cannot complete at <|> in the following (long) sample / copyright (c)2002 ibm corp. and others. all rights reserved. this program and the accompanying materials are made available under the terms of the common public license v0.5 which accompanies this distribution, and is available at <URL> contributors: ibm corporation - initial api and implementation / package org.eclipse.jdt.core; import java.util....",False,False,True,True,False,3.0,2.0,0.6666666666666666,0.0,philippe_mulet@fr.ibm.com,2002-04-11 15:56:41+00:00,resolved
14009,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,major,platform,ui,storagedocumentprovider creates status object with null plugin-id,"on an i/o error, rather than getting the coreexception, an assertion error is thrown because the plugin-id is null. snippet from setdocumentcontent()... } catch (ioexception x) { istatus s= new status(istatus.error, null, istatus.ok, x.getmessage(), x); throw new coreexception(s); } finally {",True,False,False,True,False,2.0,2.6666666666666665,0.3333333333333333,0.0,jeff_brown@oti.com,2002-04-17 15:21:53+00:00,resolved
14060,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,platform,debug,stepping slow - timer takes 99% of cpu,"the timer loops without breaking or using wait/notify. this means that once the timer starts it steals all the cpu, making stepping very slow. i verified this by using the system monitor. when no targets are running, eclipse takes 0% of the cpu. starting a target and stopping at a breakpoint is the same (0%). as soon as i do a step, the cpu goes to 99% and stays there until all targets are terminated.",False,False,False,True,False,1.0,3.0,0.3333333333333333,0.3333333333333333,darin.eclipse@gmail.com,2002-04-17 23:39:13+00:00,verified
15053,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,pde,ui,fragments not picked up on import,"20020501 win2k i was setting up my workspace (doing it ""my way"" of course). so i started with new workspace, turned off building, added my projects from repo, went to import plugins from external, selected update ui, add all prereqs and [finish]. binary projects got imported, but the fragments (for swt, other?) did not. i ended up with a bunch of errors that a normal user would find confusing. so, i went back and manually imported the fragments for resources.win32 and swt.win32. imported ok, ...",False,False,False,True,True,4.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,klicnik@ca.ibm.com,2002-05-02 02:43:14+00:00,resolved
15469,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,debug,unbounded cache in managewatchpointactiondelegate,"for every ijavavariable that is selected, we are caching the corresponding ifield. this cache grows unbounded. i do not believe the cache is needed at all...we can resolve the ifield each time as the caching saves us little.",False,False,False,True,False,2.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,darin_swanson@us.ibm.com,2002-05-07 20:41:32+00:00,verified
15507,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,error tick problems on working copies,smoke for 20020508 (build 20020502 + exported plug-ins) most prominent in java browsing perspective,False,False,False,True,False,2.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,daniel_megert@ch.ibm.com,2002-05-08 10:36:35+00:00,resolved
15682,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,error message hover help is broken,20020508 open an editor on a class. type a compiler error & compile. hover over the red x and wait. nothing appears. this worked in the previous build.,False,False,False,False,True,4.0,3.3333333333333335,0.0,0.3333333333333333,carolynmacleod4@gmail.com,2002-05-09 21:38:23+00:00,verified
16021,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,core,infinite loop in javacore.isreferencedby(...),"build 20020514 trying to open a hierarchy on java.util.hashmap, the hierarchy was built but the editor never opened as it was in an infinite loop in javacore.isreferencedby (...). note that there is no visible marker associated with this class or any in its hierarchy.",False,False,False,False,False,3.0,3.0,0.3333333333333333,0.3333333333333333,jerome_lanneluc@fr.ibm.com,2002-05-15 11:23:40+00:00,resolved
16413,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,"strange ""organize import"" behavior","in the following scenario, organize imports adds an import that does not compile (says the import is not visible). removing the import removes the error and everything compiles ok. i create a new project and add the folowing class to package a package a; public class classa { protected static interface interfacea { } public void methoda(interfacea a) { } } i then create the following class in package b (this class compiles) package b; import a.classa; public class classb extends classa { // o...",False,False,False,True,False,2.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,michael.valenta@ibm.com,2002-05-19 23:42:47+00:00,verified
16488,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,ui,missing message for missing jar,"build: 20020519 create a project copy a jar into it put the jar on the classpath delete the jar in the filesystem f5 the project open the classpath, the missing jar shows as: <jar name> (class folder)!cplistlabelprovider.willbecreated!",False,False,False,False,False,3.0,3.0,0.0,0.0,jed.anderson@genuitec.com,2002-05-20 21:02:27+00:00,verified
17953,P1 Blocker,P2 Critical,P1 Blocker -> P2 Critical,normal,jdt,core,nullpointerexception when compiling cocoon2,i test the new f1 build and get a nullpointer exception when compiling cocoon2.,True,False,False,True,True,4.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,other,2002-05-27 18:39:21+00:00,verified
3882,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,major,jdt,debug,useless tooltip in display view (1gf24vs),ak (6/9/01 4:23:48 pm) in the display view there a display toolbar button its tooltip says 'display' that's not very helpful - should be more verbose notes:,False,False,False,True,False,2.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,erich_gamma@ch.ibm.com,2001-10-11 03:02:26+00:00,verified
5372,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,jdt,ui,"dcr: please add tool to packages view for ""goto type...""","build 20011025 one of the most frequent things i do in the packages view is go to a type. usually, i have to expand a bunch of tree items and scroll there. lately, i have discovered that the context menu has a submenu for goto type... this is such a common operation that i think it merits the status of being a view tool.",False,False,False,True,False,2.0,2.6666666666666665,0.6666666666666666,0.3333333333333333,carolynmacleod4@gmail.com,2001-10-31 00:45:04+00:00,resolved
6061,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,jdt,core,unreachable code/unused temp ?,"public class as { void m(int i){ if (true) return; int y= 0; // <<< m(y); } } should the //<<< line be marked as 'unreachable code' or 'unused temp' ? it is 'unused temp' now, which feels somewhat wrong (the temps is used after all - just that code is never called)",False,False,False,False,True,4.0,3.6666666666666665,0.0,0.6666666666666666,akiezun@gmail.com,2001-11-19 13:57:27+00:00,resolved
6167,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,jdt,core,indexer not stoped on exit,"build 20011120 when exiting the workbench, the indexer keeps working until it has finished. this prevents eclipse from exiting right away and this could take an arbitrary amount of time. to reproduce: 1. create a workspace on a floppy 2. exit the workbench observe: the workbench windows have been closed, but the indexer is still working (you can see it working by watching the .index files being updated)",False,False,False,False,False,3.0,2.3333333333333335,0.3333333333333333,0.0,jerome_lanneluc@fr.ibm.com,2001-11-21 15:32:37+00:00,resolved
6558,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,jdt,core,missing class path entries should be displayed as an error,"when there are missing class path entries for a java projects the properties dialog informs the user of this as a message rather than an error. as the text does not stand out this is not obvious. steps 1) load in org.eclipse.ui from cvs 2) select convert to pde project 3) open up the properties page on the project 4) select java build path - ""class path entries are missing"" is shown as a message",False,False,True,False,False,3.0,3.0,0.0,0.0,tod_creasey@ca.ibm.com,2001-12-04 16:45:10+00:00,resolved
6762,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,jdt,ui,[preferences] incorrect message when executing properties option,"build 20011206. 1. within the packages view of the java perspective, expand the jre_lib jar. 2. go to the com.sun.java.swing.plaf.motif.icons folder and expand it. 3. select a *.gif file and attempt to display its properties. you get the following message ==> ""no property pages for .""",False,False,True,True,False,1.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,lynne_kues@us.ibm.com,2001-12-10 20:00:44+00:00,resolved
6803,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,platform,ui,remove exception handling from window.runeventloop,we handle exceptions in workbench.runeventloop so why do we also do it in window.runeventloop? having it in window causes grief when using jface/swt outside the workbench (it tries to write to the platform log).,True,False,False,False,False,3.0,3.6666666666666665,0.0,0.3333333333333333,randy_giffen@oti.com,2001-12-11 17:35:51+00:00,resolved
7386,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,jdt,ui,extract method: problems with bracketed expressions,it is not possible to extract: int f= (/*[*/2/*]*/); or int f= (/*[*/1 + 2/*]*/); reasons given are different but equally incorrect,False,False,False,False,True,4.0,3.3333333333333335,0.3333333333333333,0.6666666666666666,akiezun@gmail.com,2002-01-09 15:24:38+00:00,resolved
8699,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,jdt,core,compiler error message incomplete: syntax error on token '',"enter the following class into eclipse and save it: package foo; public class bar { public static void main(string[] args) { for (int i = 0; < args.length; i++) { } } } an error will appear on the line with the 'for' statement, because the middle portion of the statement is invalid. the error message says: ""syntax error on token '' "" this message is quite confusing, since it doesn't appear to refer to any token in particular. (tested against 20020125 build)",False,False,False,False,True,4.0,3.3333333333333335,0.0,0.3333333333333333,peter_burka@ca.ibm.com,2002-01-29 21:01:27+00:00,resolved
9393,P4 Minor,P2 Critical,P4 Minor -> P2 Critical,normal,platform,swt,no way to know when system colours change,we need a callback that can be registered to determine when the system colours have changed so that any widget that does not use the default colours can update.,False,False,False,True,True,2.0,4.0,0.3333333333333333,0.6666666666666666,tod_creasey@ca.ibm.com,2002-02-11 15:17:07+00:00,resolved
