ticket_id,component,priority,expected_assignee,predicted_assignee,rank,reciprocal_rank,is_top1_correct,is_hit_at_3,is_hit_at_5,source,error_type,confidence,ranked_candidates,reason,title
CTRL-011,compiler,P2,build-team@example.com,build-team@example.com,1,1.0,True,True,True,hybrid,correct,0.95,build-team@example.com|auth-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'compiler' and priority P2; strongest signals: component_history, component_owner_mapping, text_similarity.",Compiler cannot find generated header
CTRL-012,build pipeline,P3,build-team@example.com,build-team@example.com,1,1.0,True,True,True,hybrid,correct,0.906,build-team@example.com|auth-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'build pipeline' and priority P3; strongest signals: component_owner_mapping, text_similarity.",Build pipeline fails after cache restore
CTRL-013,frontend,P2,frontend-team@example.com,frontend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.943,frontend-team@example.com|backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'frontend' and priority P2; strongest signals: component_history, component_owner_mapping, text_similarity.",Frontend checkout crashes on missing total
CTRL-014,ui,P3,frontend-team@example.com,frontend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.95,frontend-team@example.com|auth-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'ui' and priority P3; strongest signals: component_history, component_owner_mapping, text_similarity.",UI modal cannot close after save
CTRL-015,frontend checkout,P3,frontend-team@example.com,frontend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.948,frontend-team@example.com|backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'frontend checkout' and priority P3; strongest signals: component_owner_mapping, text_similarity.",Frontend checkout layout breaks on mobile
CTRL-016,api,P2,backend-team@example.com,backend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.95,backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'api' and priority P2; strongest signals: component_history, component_owner_mapping, text_similarity.",Orders endpoint returns 500
CTRL-017,api-gateway,P2,backend-team@example.com,backend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.865,backend-team@example.com|payments-team@example.com|build-team@example.com|auth-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'api-gateway' and priority P2; strongest signals: component_owner_mapping, text_similarity.",API gateway drops retry header
CTRL-018,backend,P2,backend-team@example.com,backend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.95,backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'backend' and priority P2; strongest signals: component_history, component_owner_mapping, text_similarity.",Backend queue job double processes item
CTRL-019,security,P1,security-team@example.com,security-team@example.com,1,1.0,True,True,True,hybrid,correct,0.946,security-team@example.com|backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com,"Assigned by hybrid ranking for component 'security' and priority P1; strongest signals: component_history, component_owner_mapping, text_similarity.",Cookie secure flag is missing
CTRL-020,security scanner,P1,security-team@example.com,security-team@example.com,1,1.0,True,True,True,hybrid,correct,0.888,security-team@example.com|build-team@example.com|backend-team@example.com|auth-team@example.com|payments-team@example.com,"Assigned by hybrid ranking for component 'security scanner' and priority P1; strongest signals: component_owner_mapping, text_similarity.",Security scanner reports weak CSP
CTRL-021,authentication,P2,auth-team@example.com,auth-team@example.com,1,1.0,True,True,True,hybrid,correct,0.95,auth-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com|build-team@example.com,"Assigned by hybrid ranking for component 'authentication' and priority P2; strongest signals: component_history, component_owner_mapping, text_similarity.",Login crash with surrounding spaces
CTRL-022,unknown,P3,manual_triage,manual_triage,1,1.0,True,True,True,manual,correct,0.25,manual_triage|backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com,No reliable owner signal was found; manual triage is required.,Unknown issue should go to manual triage
CTRL-023,unknown,P3,manual_triage,manual_triage,1,1.0,True,True,True,manual,correct,0.25,manual_triage|backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com,No reliable owner signal was found; manual triage is required.,Missing component should go to manual triage
CTRL-024,documentation,P5,manual_triage,manual_triage,1,1.0,True,True,True,manual,correct,0.25,manual_triage|backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com,No reliable owner signal was found; manual triage is required.,Documentation typo in release notes
CTRL-025,mobile,P3,frontend-team@example.com,frontend-team@example.com,1,1.0,True,True,True,hybrid,correct,0.742,frontend-team@example.com|auth-team@example.com|backend-team@example.com|payments-team@example.com|data-team@example.com,Assigned by hybrid ranking for component 'mobile' and priority P3; strongest signals: text_similarity.,Mobile keyboard covers login button
CTRL-026,observability,P3,backend-team@example.com,payments-team@example.com,3,0.3333333333333333,False,True,True,hybrid,cold_start_component,0.757,payments-team@example.com|data-team@example.com|backend-team@example.com|auth-team@example.com|build-team@example.com,Assigned by hybrid ranking for component 'observability' and priority P3; strongest signals: text_similarity.,Observability dashboard misses p95 latency
CTRL-027,reporting,P3,data-team@example.com,manual_triage,5,0.2,False,False,True,manual,manual_triage_predicted,0.25,manual_triage|backend-team@example.com|auth-team@example.com|payments-team@example.com|data-team@example.com,No reliable owner signal was found; manual triage is required.,Reporting export loses decimal places
